player,stance,position,dk_salary,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
Trea Turner,(R),2B,$5.3K,28,LAD,NL,112,487,450,80,145,24,3,19,54,25,4,29,84,0.322,0.368,0.516,0.883,143,232,14,5,0,3,0
Max Muncy,(L),1B/3B,$5.5K,30,LAD,NL,109,454,374,77,99,21,1,28,76,2,0,70,85,0.265,0.394,0.551,0.945,156,206,4,10,0,0,5
Justin Turner,(R),3B,$4.8K,36,LAD,NL,115,472,406,65,116,18,0,21,70,1,0,50,79,0.286,0.377,0.485,0.862,135,197,9,12,0,4,0
A.J. Pollock,(R),OF,$3.7K,33,LAD,NL,97,351,323,42,99,24,0,15,53,8,0,23,69,0.307,0.359,0.52,0.879,138,168,4,4,0,1,3
Corey Seager,(L),SS,$4.6K,27,LAD,NL,59,260,225,36,63,15,2,6,32,1,0,29,47,0.28,0.369,0.444,0.814,122,100,6,4,0,2,1
Chris Taylor,(R),3B/OF,$4.5K,30,LAD,NL,120,492,429,84,120,23,4,18,66,12,1,54,134,0.28,0.37,0.478,0.848,131,205,5,8,0,1,1
Will Smith,(R),C,$4.9K,26,LAD,NL,103,392,326,55,84,15,2,19,60,2,0,46,79,0.258,0.367,0.491,0.858,133,160,10,14,0,6,3
Cody Bellinger,(L),OF,$3.8K,25,LAD,NL,67,268,239,35,41,7,2,9,31,2,1,26,74,0.172,0.254,0.331,0.584,59,79,1,1,0,2,1
Walker Buehler,(R),SP,$9.7K,26,LAD,NL,25,66,57,3,7,2,0,0,3,0,0,3,33,0.123,0.167,0.158,0.325,-10,9,0,0,6,0,0
